trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-47.31865771336787,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.96}",30,0,-121.52772665106346,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.94}",25,0,-27.549910450590577,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-115.41319606498249,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-45.142045048444515,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-8.949243735776554,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-187.1246892133466,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-115.22937922285122,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-53.92379630235071,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-68.97702219000224,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-45.40591481540402,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-129.96342128344943,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,13,6.983153725516173,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,1,-55.6602718278821,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-169.31786236163526,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-201.1742265098386,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,3,-163.06609275712597,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,0,-94.59944689325465,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,11,9.400171965344168,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,25.28205501674573,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,21,-38.20482418302749,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,1,-45.92206518067658,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,3,-89.43388964716867,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-163.83950789801642,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,6,-9.08297909543681,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,7,-48.67910251478608,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,8,-7.1767128446632,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,22,14.319024122903015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,5,-27.567906005041127,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,15,15.938559814336887,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-38.56092188842884,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,13,1.2901408263401364,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,8,30.48107894682169,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,19,8.960709617052883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,18,12.420803664338068,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,14,8.841462321516902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,1,13.886925885701784,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.23999999999999935}",25,9,-22.11401847877828,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.21999999999999936}",20,9,-1.5635708396479118,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.19999999999999937}",25,16,4.686780440412252,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.17999999999999938}",25,9,28.163203644440777,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1599999999999994}",30,16,4.474508032987169,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.1399999999999994}",25,5,16.148538339761927,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.1199999999999994}",30,16,24.897312364255068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.0999999999999994}",30,19,19.09180810488675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.07999999999999939}",20,1,15.682446181830556,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.05999999999999939}",20,3,14.5253206778036,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.03999999999999938}",25,8,29.752654935177855,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,27.70810775819512,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,9,26.635205292662224,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,21,18.45281755747606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,17.496145470710562,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,13.267904324593525,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,19,23.271708876596662,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,23.520369730667127,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,9.641679284233314,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,19.179866101425254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,18,14.247773205417467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
