trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.80775974076263,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.637280313659631}",30,0,-172.1232346634129,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.4896335682000246}",25,0,-53.23133757851171,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.40612619817811774}",20,0,-5.8956229880789675,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.35129300098920546}",30,0,-72.76299234398394,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.31203383392079603}",20,0,-40.56094753175029,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.2822840072650354}",20,0,-21.89573029087943,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.25881623096034434}",20,0,-30.3088688726143,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.23974103110828812}",20,0,-15.602173253559293,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.22387211385683392}",20,0,10.77086099214148,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.21042374935652375}",20,0,1.2033361422901763,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.19885301955346213}",20,0,6.188151920469127,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.1887716713489458}",30,0,-114.5676200239708,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.17989404069095935}",25,0,-66.66306090840177,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.17200484555803944}",30,16,-18.02262405717988,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.16493848884661177}",20,6,2.542104992948045,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.15856531736132468}",20,0,-60.740044995475685,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.15278223950177325}",25,0,-13.14726877294274,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.147506160723407}",20,0,-57.2340708469653,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.14266929093832778}",20,0,-41.65263999788885,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.13821572572298096}",25,0,-35.20328554455266,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.13409891299136104}",20,0,-17.04888377891406,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.13027974702516767}",25,14,-32.6553134682638,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.1267251146731951}",25,13,22.492191330103026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.12340677254400191}",25,0,11.655521871809928,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.12030046992730896}",20,0,-11.296848844806386,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.1173852565055042}",25,0,-13.089141777472545,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.11464293067703299}",30,0,31.583055299221975,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.11205759604225148}",20,0,25.595887565338405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.10961530192820378}",20,0,-17.114439218509613,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.10730374981747492}",20,0,-12.12108459805803,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.1051120519067143}",20,11,16.967091675466502,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.10303053123146236}",25,0,-8.701099076128601,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.10105055518356393}",20,0,19.72191278181332,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.09916439604339297}",20,8,18.24738211397975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.09736511351131091}",25,0,-8.657089556971897,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.09564645526493198}",25,0,-58.24808372521629,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.09400277237254079}",25,0,9.089837328960526,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.09242894701766667}",25,0,23.061352549517935,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.09092033047877468}",25,0,19.039464998627572,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.08947268969336922}",20,0,2.874922493240051,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.08808216104143483}",20,0,30.34650801664574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.0867452102270251}",20,0,28.914987283952158,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.08545859733255014}",30,0,26.098772571591798,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.084219346278277}",20,12,6.746495847065446,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.08302471804769623}",25,11,24.63580629711439,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08187218714387524}",20,1,18.25151235488692,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
