trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-24,-85.81760080161584,"{0: 33, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-422.95097479343417,"{0: 75, 1: 17, 2: 21, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-32,-313.5641769124723,"{0: 35, 1: 6, 2: 16, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,13,-6.890213145628648,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,17,-38.2646708896121,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-692.5031571298731,"{0: 77, 1: 9, 2: 25, 3: 3, 4: 11}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-10,-115.13376508244444,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-17,-151.67334496303783,"{0: 22, 1: 6, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-68,-582.884821322237,"{0: 55, 1: 13, 2: 11, 3: 4, 4: 10}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-100,-520.3275146679506,"{0: 79, 1: 13, 2: 31, 3: 1, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,3,-130.7120731401557,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,-100,-740.937832439893,"{0: 74, 1: 17, 2: 24, 3: 4, 4: 11}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-100,-605.8352911347158,"{0: 80, 1: 13, 2: 25, 3: 3, 4: 9}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-548.9964260122372,"{0: 80, 1: 15, 2: 19, 3: 3, 4: 8}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-79,-496.88982617084616,"{0: 58, 1: 14, 2: 16, 3: 5, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-14,-176.56976851979044,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-33,-104.44798749260933,"{0: 36, 1: 7, 2: 9, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-23,-268.5064915591453,"{0: 25, 1: 8, 2: 11, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-5,-102.49376237658034,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-51,-407.76943197655464,"{0: 39, 1: 5, 2: 21, 3: 0, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-44,-263.4998612346645,"{0: 36, 1: 13, 2: 11, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-41,-359.18623699129637,"{0: 33, 1: 8, 2: 13, 3: 2, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-511.05000636033236,"{0: 81, 1: 12, 2: 16, 3: 3, 4: 8}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,1,-122.60551032987406,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,-42,-483.50194377294116,"{0: 42, 1: 8, 2: 12, 3: 1, 4: 9}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-58,-485.0719301804961,"{0: 44, 1: 11, 2: 21, 3: 0, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-373.1307594291724,"{0: 83, 1: 16, 2: 17, 3: 6, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-10,-239.14467928142037,"{0: 22, 1: 6, 2: 8, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,14,-6.980803757937239,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,-21,-147.1080729841011,"{0: 23, 1: 7, 2: 9, 3: 1, 4: 1}",0
